Tarea,Costo,Estado,Notas
Bouquet,0.0,Pendiente,Buscando
Vestido,700.0,Completado,"Solo falta la medida final, ya esta pago"
Traje novio,918.65,Completado,Arreglos terminados
Corbata,0.0,Pendiente,Posiblemente tenga una de mi papa con mi mama
Pin,0.0,Completado,Hugo Boss
Medias,0.0,En progreso,Buscando
Torta,300.0,Completado,Pastelería contratada
Fotógrafo,500.0,En progreso,Contratación pendiente
Notario,300.0,Por definir,Esperando cita
Anillos,9240.0,Completado,Compra en proceso
Pre invitaciones enviadas,0.0,Completado,Correo enviado
Invitaciones con detalle,0.0,En progreso,Impresión en curso
Locación del evento,0.0,Completado,Marche des eclusier
Cuchillo de torta,0.0,Completado,Adquirido
Bolígrafo de la firma,0.0,En progreso,Comprado
Habitación hotel,0.0,En progreso,Reservación parcial
Maquillaje y peinado,0.0,Pendiente,
